Date,Close_Splits,Volume_Splits,Open_Splits,High_Splits,Low_Splits,Open_NoSplits,High_NoSplits,Low_NoSplits,Close_NoSplits,Volume_NoSplits,Daily_Return,Price_Range,Price_Change,Profit,pred_constant,error,squared_error,pred_linear,error_linear,squared_error_linear,Prev_Close
2016-01-14, $99.52,63000140, $97.96, $100.48, $95.74,22.086938192270384,22.655120911036093,21.58639684675493,22.43866920471192,252680400,2.1870854518935,1.068724064281163,0.3517310124415331,True,26.17548033563116,-3.7368111309192393,13.963757428161925,22.01597295114464,0.42269625356728113,0.17867212277981523,21.89979362487793
2016-01-13, $97.39,62285770, $100.32, $101.19, $97.3,22.61904385892593,22.81520245484089,21.93812842101598,21.958419799804688,249758400,-2.571016937906978,0.8770740338249112,-0.6606240591212469,False,26.17548033563116,-4.217060535826473,17.78359956282506,22.55079772586152,-0.5923779260568338,0.3509116072793957,22.43866920471192
2016-01-12, $99.96,49046150, $100.55, $100.69, $98.8399,22.67089986748918,22.70246537766221,22.285346512877528,22.537872314453125,196616800,1.4513414017023996,0.4171188647846868,-0.1330275530360545,False,26.17548033563116,-3.6376080211780355,13.232192115738783,22.4162817209006,0.12159059355252566,0.014784272440455494,21.958419799804688
2016-01-11, $98.53,49687870, $98.97, $99.06, $97.34,22.314657152634663,22.334948527801405,21.94714174727492,22.215450286865234,198957600,1.6192004924921344,0.3878067805264855,-0.0992068657694282,False,26.17548033563116,-3.960030048765926,15.681837987129063,22.3875968470265,-0.1721465601612664,0.02963443817535651,22.537872314453125
2016-01-08, $96.96,70722000, $98.55, $99.11, $96.76,22.21996579516317,22.346227857182512,21.8163761667038,21.861469268798828,283192000,0.5287939673458197,0.5298516904787114,-0.3584965263643411,False,26.17548033563116,-4.314011066832332,18.61069148475184,22.213065595938772,-0.35159632713994426,0.12361997725829871,22.215450286865234
2016-01-07, $96.45,80742460, $98.68, $100.13, $96.43,22.24927163523591,22.576200859718405,21.741966598506444,21.74647521972656,324377600,-4.220463159196419,0.8342342612119609,-0.5027964155093514,False,26.17548033563116,-4.4290051159046016,19.616086316709133,22.108118451565268,-0.36164323183870906,0.13078582713474626,21.861469268798828
2016-01-06, $100.7,68384270, $100.56, $102.37, $99.87,22.67315403228967,23.08125394699571,22.517581647305203,22.70471954345703,273829600,-1.956979156551497,0.5636722996905057,0.0315655111673613,True,26.17548033563116,-3.4707607921741293,12.04618047649319,22.34349977301857,0.3612197704384599,0.13047972255561366,21.74647521972656
2016-01-05, $102.71,55583140, $105.75, $105.85, $102.41,23.84334091401202,23.86588746445505,23.09027546402736,23.157915115356445,223164000,-2.5059236397309337,0.7756120004276887,-0.6854257986555758,False,26.17548033563116,-3.017565220274715,9.10569985861159,23.440203635614886,-0.2822885202584402,0.07968680866969981,22.70471954345703
2016-01-04, $105.35,67569090, $102.61, $105.368, $102,23.13536656617872,23.75766128175527,22.997830384109424,23.753150939941406,270597600,0.0855189859622962,0.7598308976458448,0.6177843737626851,True,26.17548033563116,-2.4223293956897543,5.8676797012226904,23.13854517905004,0.6146057608913651,0.3777402413208538,23.157915115356445
2015-12-31, $105.26,40885480, $107.01, $107.03, $104.82,24.12742538401558,24.13193400474153,23.63364798525828,23.73285484313965,163649200,-1.9195093441644828,0.4982860194832526,-0.3945705408759323,False,26.17548033563116,-2.442625492491512,5.966419296569402,23.99223778662947,-0.2593829434898218,0.06727951137344411,23.753150939941406
2015-12-30, $107.32,25184090, $108.58, $108.7, $107.18,24.4814160775029,24.5084712473463,24.16575924119607,24.197324752807617,100855200,-1.305850901618022,0.3427120061502293,-0.2840913246952823,False,26.17548033563116,-1.9781555828235433,3.9130995098559525,24.21534041115651,-0.018015658348893737,0.0003245639457440646,23.73285484313965
2015-12-29, $108.74,30912260, $106.96, $109.43, $106.86,24.1161522240276,24.673060656543264,24.09360567910691,24.517486572265625,123724800,1.7974128987602978,0.5794549774363524,0.4013343482380236,True,26.17548033563116,-1.6579937633655355,2.7489433193590114,24.140508343581647,0.3769782286839778,0.14211258490170944,24.197324752807617
